source_figure,flow,Re_per_m_e6,M,x_m,value,unit,unc_paper_pct,unc_digitization,reader_spread,provenance,note
Fig4.16(thesis),Noisy,7.5,7.8,0.322,0.0441,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,7.5,7.8,0.36,0.0421,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,7.5,7.8,0.398,0.048,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,7.5,7.8,0.452,0.0483,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,7.5,7.8,0.49,0.05,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,9.5,7.9,0.208,0.0445,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,9.5,7.9,0.246,0.0396,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,9.5,7.9,0.284,0.0426,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,9.5,7.9,0.322,0.0484,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,9.5,7.9,0.36,0.0474,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,9.5,7.9,0.398,0.0455,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,9.5,7.9,0.452,0.0395,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,9.5,7.9,0.49,0.0392,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,10.6,7.9,0.208,0.0453,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,10.6,7.9,0.246,0.0399,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,10.6,7.9,0.284,0.0455,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,10.6,7.9,0.322,0.049,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,10.6,7.9,0.36,0.0426,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,10.6,7.9,0.398,0.0412,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,10.6,7.9,0.452,0.0353,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,10.6,7.9,0.49,0.0356,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,12.6,7.9,0.208,0.0476,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,12.6,7.9,0.246,0.0409,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,12.6,7.9,0.284,0.0469,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,12.6,7.9,0.322,0.0434,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,12.6,7.9,0.36,0.0359,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,12.6,7.9,0.398,0.0348,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,12.6,7.9,0.452,0.0311,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,12.6,7.9,0.49,0.0312,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,14.2,7.9,0.208,0.0448,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,14.2,7.9,0.246,0.0415,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,14.2,7.9,0.284,0.0424,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,14.2,7.9,0.322,0.037,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,14.2,7.9,0.36,0.0327,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,14.2,7.9,0.398,0.0302,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,14.2,7.9,0.452,0.0284,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,14.2,7.9,0.49,0.029,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,16.0,7.9,0.208,0.0417,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,16.0,7.9,0.246,0.0368,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,16.0,7.9,0.284,0.0366,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,16.0,7.9,0.322,0.0337,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,16.0,7.9,0.36,0.0286,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,16.0,7.9,0.398,0.0301,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,16.0,7.9,0.452,0.0312,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,16.0,7.9,0.49,0.0334,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
